CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
01.201.140/0001-90;2022-06-30;1;2022-08-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;12203832;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RO BRAVO INVESTIMENTOS DTVM LTDA;01201140000190;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLIMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
01.235.622/0001-61;2022-03-31;2;2022-05-19;OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTD005;935878;Não;Não;Não;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRL TRUST DTVM S.A.;01235622000161;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br;2022-03-31
01.235.622/0001-61;2022-06-30;1;2022-08-11;OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTD005;935878;Não;Não;Não;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRL TRUST DTVM S.A.;01235622000161;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br;2022-06-30
01.235.622/0001-61;2022-09-30;1;2022-11-10;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTD005;935878;Não;Não;Não;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRL TRUST DTVM S.A.;01235622000161;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br;2022-09-30
01.356.517/0001-80;2022-03-31;1;2022-05-20;LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-08-12;INVESTIDORES EM GERAL;;56701;Sim;Sim;Sim;Desenvolvimento para Renda;Outros;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;MOMENTO DISTRIBUIDO DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;01356517000180;RUA DA AJUDA;35;19º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040-915;(21) 3266-6666;(21) 3266-6651;;NÃO POSSUI SITE;lagra@saoclementesa.com.br;2022-03-31
01.356.517/0001-80;2022-06-30;1;2022-07-20;LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-08-12;INVESTIDORES EM GERAL;;56701;Sim;Sim;Sim;Desenvolvimento para Renda;Outros;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;MOMENTO DISTRIBUIDO DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;01356517000180;RUA DA AJUDA;35;19º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040-915;(21) 3266-6666;(21) 3266-6651;;NÃO POSSUI SITE;lagra@saoclementesa.com.br;2022-06-30
01.356.517/0001-80;2022-09-30;1;2022-10-19;LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-08-12;INVESTIDORES EM GERAL;;56701;Sim;Sim;Sim;Desenvolvimento para Renda;Outros;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;MOMENTO DISTRIBUIDO DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;01356517000180;RUA DA AJUDA;35;19º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040-915;(21) 3266-6666;(21) 3266-6651;;NÃO POSSUI SITE;lagra@saoclementesa.com.br;2022-09-30
01.497.954/0001-14;2022-03-31;1;2022-05-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;BRMISTCTF016;8703994;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;01497954000114;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO;PORTO ALEGRE;RS;90010090;51 3213 2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br;2022-03-31
01.497.954/0001-14;2022-06-30;4;2022-08-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;BRMISTCTF016;8703994;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;01497954000114;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO;PORTO ALEGRE;RS;90010090;51 3213 2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br;2022-06-30
01.497.954/0001-14;2022-09-30;1;2022-11-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;BRMISTCTF016;8703994;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;01497954000114;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO;PORTO ALEGRE;RS;90010090;51 3213 2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br;2022-09-30
01.601.918/0001-59;2022-03-31;1;2022-05-13;FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO;1997-01-14;INVESTIDORES EM GERAL;BRFTLZCTF001;500000;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA.;01601918000159;Av. Chedid Jafet;222;3º Andar - Bloco B;Vila Olímpia;São Paulo;SP;04551065;(11) 3509-6600;;;www.riobravo.com.br;investimentosimobiliarios@riobravo.com.br;2022-03-31
01.601.918/0001-59;2022-06-30;1;2022-08-15;FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO;1997-01-14;INVESTIDORES EM GERAL;BRFTLZCTF001;500000;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA.;01601918000159;Av. Chedid Jafet;222;3º Andar - Bloco B;Vila Olímpia;São Paulo;SP;04551065;(11) 3509-6600;;;www.riobravo.com.br;investimentosimobiliarios@riobravo.com.br;2022-06-30
01.633.741/0001-72;2022-03-31;1;2022-05-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCT010;508008;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES CCVM LTDA;01633741000172;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-03-31
01.633.741/0001-72;2022-06-30;1;2022-08-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCT010;508008;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES CCVM LTDA;01633741000172;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-06-30
01.633.741/0001-72;2022-09-30;1;2022-11-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCT010;508008;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES CCVM LTDA;01633741000172;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-09-30
01.636.325/0001-28;2022-03-31;1;2022-05-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO;1997-01-01;INVESTIDOR QUALIFICADO;BRPMOVCTF008;234900;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;01636325000128;AVENIDA DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;col@brcapital.com.br;2022-03-31
01.636.325/0001-28;2022-06-30;1;2022-08-11;FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO;1997-01-01;INVESTIDOR QUALIFICADO;BRPMOVCTF008;234900;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;01636325000128;AVENIDA DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;col@brcapital.com.br;2022-06-30
01.657.856/0001-05;2022-03-31;1;2022-05-12;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCT003;4200000;Não;Não;Não;Renda;Shoppings;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;01657856000105;AVENIDA DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br;2022-03-31
01.657.856/0001-05;2022-06-30;1;2022-08-12;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCT003;4200000;Não;Não;Não;Renda;Shoppings;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;01657856000105;AVENIDA DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br;2022-06-30
01.964.775/0001-40;2022-03-31;1;2022-05-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;Sim;Não;Não;;;;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;1830;10° ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;04543-000;11 98790-4353;;;N/C;carolina.angelo@bancobmg.com.br;2022-03-31
01.964.775/0001-40;2022-06-30;1;2022-08-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;Sim;Não;Não;;;;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;1830;10° ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;04543-000;11 98790-4353;;;N/C;carolina.angelo@bancobmg.com.br;2022-06-30
02.027.437/0001-44;2022-03-31;1;2022-05-11;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;140000;Não;Não;Sim;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02027437000144;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;45551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
02.027.437/0001-44;2022-06-30;1;2022-08-02;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;140800;Não;Não;Sim;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02027437000144;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;45551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
02.027.437/0001-44;2022-09-30;1;2022-11-07;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;141600;Não;Não;Sim;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02027437000144;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;45551065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-09-30
02.508.235/0001-14;2022-03-31;1;2022-05-04;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;Não;Não;Sim;Renda;Logística;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02508235000114;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;(11) 3509-6600;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
02.508.235/0001-14;2022-06-30;1;2022-08-11;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;Não;Não;Sim;Renda;Logística;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02508235000114;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;(11) 3509-6600;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
03.251.720/0001-18;2022-03-31;1;2022-05-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES C.C.V.M LTDA;03251720000118;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-03-31
03.251.720/0001-18;2022-06-30;1;2022-08-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES C.C.V.M LTDA;03251720000118;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-06-30
03.251.720/0001-18;2022-09-30;1;2022-11-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;COINVALORES C.C.V.M LTDA;03251720000118;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2022-09-30
03.507.519/0001-59;2022-03-31;1;2022-05-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03507519000159;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;(11) 3509-6601;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
03.507.519/0001-59;2022-06-30;1;2022-08-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03507519000159;AV. CHEDID JAFET;222;BLOCO B - conjunto 32;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;(11) 3509-6601;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-06-30
03.683.056/0001-86;2022-03-31;1;2022-05-11;FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA;2000-01-12;INVESTIDORES EM GERAL;BRRCRBCTF000;3690695;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03683056000186;AVENIDA CHEDID JAFET;222;3 ANDAR BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;11 3509 6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2022-03-31
